formula,weight_scheme,modulus,residue,is_unsat,gen_time_sec
php32,sequential,7,0,True,2.4e-05
php32,exponential,7,0,True,1.1e-05
php32,hash,7,0,True,9e-06
php43,sequential,13,10,True,1.6e-05
php43,exponential,13,3,True,1.5e-05
php43,hash,13,12,True,1.6e-05
php54,sequential,19,17,True,2.6e-05
php54,exponential,19,11,True,2.2e-05
php54,hash,19,15,True,2.4e-05
php65,sequential,29,10,True,3.1e-05
php65,exponential,29,5,True,3.3e-05
php65,hash,29,3,True,3.1e-05
random3sat20,sequential,17,10,True,1.6e-05
random3sat20,exponential,17,11,True,1.6e-05
random3sat20,hash,17,10,True,1e-05
tseitin,sequential,11,7,True,1e-05
tseitin,exponential,11,5,True,1.3e-05
tseitin,hash,11,9,True,1.3e-05
xor_sat,sequential,5,0,True,7e-06
xor_sat,exponential,5,4,True,6e-06
xor_sat,hash,5,0,True,9e-06
