FormulaID,ClauseCount,WeightType,Modulus,ResidueSum,Satisfiability
PHP43,20,Sequential,1009,0,UNSAT
PHP43,20,Polynomial,1009,0,UNSAT
PHP43,20,Exponential,1009,0,UNSAT
PHP43,20,Hash_SHA256(i),1009,0,UNSAT
PHP43,20,Sequential,100003,0,UNSAT
PHP43,20,Polynomial,100003,0,UNSAT
PHP43,20,Exponential,100003,0,UNSAT
PHP43,20,Hash_SHA256(i),100003,0,UNSAT
PHP43,20,Sequential,1000003,0,UNSAT
PHP43,20,Polynomial,1000003,0,UNSAT
PHP43,20,Exponential,1000003,0,UNSAT
PHP43,20,Hash_SHA256(i),1000003,0,UNSAT
PHP54,30,Sequential,1009,0,UNSAT
PHP54,30,Polynomial,1009,0,UNSAT
PHP54,30,Exponential,1009,0,UNSAT
PHP54,30,Hash_SHA256(i),1009,0,UNSAT
PHP54,30,Sequential,100003,0,UNSAT
PHP54,30,Polynomial,100003,0,UNSAT
PHP54,30,Exponential,100003,0,UNSAT
PHP54,30,Hash_SHA256(i),100003,0,UNSAT
PHP54,30,Sequential,1000003,0,UNSAT
PHP54,30,Polynomial,1000003,0,UNSAT
PHP54,30,Exponential,1000003,0,UNSAT
PHP54,30,Hash_SHA256(i),1000003,0,UNSAT
XOR8,20,Sequential,1009,314,SAT
XOR8,20,Polynomial,1009,271,SAT
XOR8,20,Exponential,1009,142,SAT
XOR8,20,Hash_SHA256(i),1009,77,SAT
XOR8,20,Sequential,100003,81627,SAT
XOR8,20,Polynomial,100003,98323,SAT
XOR8,20,Exponential,100003,7512,SAT
XOR8,20,Hash_SHA256(i),100003,19034,SAT
XOR8,20,Sequential,1000003,558912,SAT
XOR8,20,Polynomial,1000003,334981,SAT
XOR8,20,Exponential,1000003,12984,SAT
XOR8,20,Hash_SHA256(i),1000003,763400,SAT
