FormulaID,ClauseCount,WeightType,Modulus,ResidueSum,Satisfiability
XOR12,32,Sequential,1009,172,SAT
XOR12,32,Polynomial,1009,354,SAT
XOR12,32,Exponential,1009,93,SAT
XOR12,32,Hash_SHA256(i),1009,721,SAT
XOR12,32,Sequential,100003,54720,SAT
XOR12,32,Polynomial,100003,63123,SAT
XOR12,32,Exponential,100003,48211,SAT
XOR12,32,Hash_SHA256(i),100003,92123,SAT
XOR12,32,Sequential,1000003,214382,SAT
XOR12,32,Polynomial,1000003,623901,SAT
XOR12,32,Exponential,1000003,174503,SAT
XOR12,32,Hash_SHA256(i),1000003,743301,SAT
