FormulaID,ClauseCount,WeightType,Modulus,ResidueSum,Satisfiability
3SAT20a,85,Sequential,1009,288,SAT
3SAT20a,85,Polynomial,1009,563,SAT
3SAT20a,85,Exponential,1009,399,SAT
3SAT20a,85,Hash_SHA256(i),1009,700,SAT
3SAT20a,85,Sequential,100003,78914,SAT
3SAT20a,85,Polynomial,100003,12314,SAT
3SAT20a,85,Exponential,100003,23114,SAT
3SAT20a,85,Hash_SHA256(i),100003,65784,SAT
3SAT20a,85,Sequential,1000003,320114,SAT
3SAT20a,85,Polynomial,1000003,212010,SAT
3SAT20a,85,Exponential,1000003,410325,SAT
3SAT20a,85,Hash_SHA256(i),1000003,580913,SAT
